DateTime,oil
2023-12-12 05:00:00+00:00,68.61000061035156
2023-12-13 05:00:00+00:00,69.47000122070312
2023-12-14 05:00:00+00:00,71.58000183105469
2023-12-15 05:00:00+00:00,71.43000030517578
2023-12-18 05:00:00+00:00,72.47000122070312
2023-12-19 05:00:00+00:00,73.44000244140625
2023-12-20 05:00:00+00:00,74.22000122070312
2023-12-21 05:00:00+00:00,73.88999938964844
2023-12-22 05:00:00+00:00,73.55999755859375
2023-12-26 05:00:00+00:00,75.56999969482422
2023-12-27 05:00:00+00:00,74.11000061035156
2023-12-28 05:00:00+00:00,71.7699966430664
2023-12-29 05:00:00+00:00,71.6500015258789
2024-01-02 05:00:00+00:00,70.37999725341797
2024-01-03 05:00:00+00:00,72.69999694824219
2024-01-04 05:00:00+00:00,72.19000244140625
2024-01-05 05:00:00+00:00,73.80999755859375
2024-01-08 05:00:00+00:00,70.7699966430664
2024-01-09 05:00:00+00:00,72.23999786376953
2024-01-10 05:00:00+00:00,71.37000274658203
2024-01-11 05:00:00+00:00,72.0199966430664
2024-01-12 05:00:00+00:00,72.68000030517578
2024-01-16 05:00:00+00:00,72.4000015258789
2024-01-17 05:00:00+00:00,72.55999755859375
2024-01-18 05:00:00+00:00,74.08000183105469
2024-01-19 05:00:00+00:00,73.41000366210938
2024-01-22 05:00:00+00:00,75.19000244140625
2024-01-23 05:00:00+00:00,74.37000274658203
2024-01-24 05:00:00+00:00,75.08999633789062
2024-01-25 05:00:00+00:00,77.36000061035156
2024-01-26 05:00:00+00:00,78.01000213623047
2024-01-29 05:00:00+00:00,76.77999877929688
2024-01-30 05:00:00+00:00,77.81999969482422
2024-01-31 05:00:00+00:00,75.8499984741211
2024-02-01 05:00:00+00:00,73.81999969482422
2024-02-02 05:00:00+00:00,72.27999877929688
2024-02-05 05:00:00+00:00,72.77999877929688
2024-02-06 05:00:00+00:00,73.30999755859375
2024-02-07 05:00:00+00:00,73.86000061035156
2024-02-08 05:00:00+00:00,76.22000122070312
2024-02-09 05:00:00+00:00,76.83999633789062
2024-02-12 05:00:00+00:00,76.91999816894531
2024-02-13 05:00:00+00:00,77.87000274658203
2024-02-14 05:00:00+00:00,76.63999938964844
2024-02-15 05:00:00+00:00,78.02999877929688
2024-02-16 05:00:00+00:00,79.19000244140625
2024-02-20 05:00:00+00:00,78.18000030517578
2024-02-21 05:00:00+00:00,77.91000366210938
2024-02-22 05:00:00+00:00,78.61000061035156
2024-02-23 05:00:00+00:00,76.48999786376953
2024-02-26 05:00:00+00:00,77.58000183105469
2024-02-27 05:00:00+00:00,78.87000274658203
2024-02-28 05:00:00+00:00,78.54000091552734
2024-02-29 05:00:00+00:00,78.26000213623047
2024-03-01 05:00:00+00:00,79.97000122070312
2024-03-04 05:00:00+00:00,78.73999786376953
2024-03-05 05:00:00+00:00,78.1500015258789
2024-03-06 05:00:00+00:00,79.12999725341797
2024-03-07 05:00:00+00:00,78.93000030517578
2024-03-08 05:00:00+00:00,78.01000213623047
2024-03-11 04:00:00+00:00,77.93000030517578
2024-03-12 04:00:00+00:00,77.55999755859375
2024-03-13 04:00:00+00:00,79.72000122070312
2024-03-14 04:00:00+00:00,81.26000213623047
2024-03-15 04:00:00+00:00,81.04000091552734
2024-03-18 04:00:00+00:00,82.72000122070312
2024-03-19 04:00:00+00:00,83.47000122070312
2024-03-20 04:00:00+00:00,81.68000030517578
2024-03-21 04:00:00+00:00,81.06999969482422
2024-03-22 04:00:00+00:00,80.62999725341797
2024-03-25 04:00:00+00:00,81.94999694824219
2024-03-26 04:00:00+00:00,81.62000274658203
